rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
17,cyclone,loopback,043b9c72d76c,20260630,2,50,1,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 100, ""lifespan_offset_pp"": -1}",80,70,0.875,true,,,,,,,,,true,false,delivered
17,cyclone,loopback,052e70781f25,20260630,1,50,50,20,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 200, ""lifespan_offset_pp"": 1}",80,63,0.7875,false,,,,,,,,,true,false,no_delivery
17,cyclone,loopback,0b631f1fa2ca,20260630,0,50,1,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 100, ""lifespan_offset_pp"": -1}",80,70,0.875,true,,,,,,,,,true,false,delivered
17,cyclone,loopback,0cc6c7877d75,20260630,1,50,50,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 50, ""lifespan_offset_pp"": -2}",80,68,0.85,false,,,,,,,,,true,false,no_delivery
17,cyclone,loopback,0d6b99b0d989,20260630,2,50,1,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 250, ""lifespan_offset_pp"": 2}",80,71,0.8875,true,,,,,,,,,true,false,delivered
17,cyclone,loopback,0dd7a89a286e,20260630,1,50,1,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 200, ""lifespan_offset_pp"": 1}",80,71,0.8875,true,,,,,,,,,true,false,delivered
17,cyclone,loopback,13b38bb03785,20260630,1,50,50,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 200, ""lifespan_offset_pp"": 1}",80,70,0.875,true,,,,,,,,,true,false,delivered
17,cyclone,loopback,14f17b0f6e17,20260630,0,50,1,20,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 200, ""lifespan_offset_pp"": 1}",80,67,0.8375,true,,,,,,,,,true,false,delivered
17,cyclone,loopback,16ee091e50ae,20260630,0,50,1,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 250, ""lifespan_offset_pp"": 2}",80,71,0.8875,true,,,,,,,,,true,false,delivered
17,cyclone,loopback,178c58a71628,20260630,2,50,1,0,1024,2,2,"{""durability"": ""TRANSIENT_LOCAL"", ""history_depth"": 3, ""history_kind"": ""KEEP_LAST"", ""lifespan_ms"": 150, ""lifespan_offset_pp"": 0}",80,71,0.8875,true,,,,,,,,,true,false,delivered
